Dataset,Fragments,Count,Proportion,AMW,NumCarbons,NumOxygens,NumNitrogens,NumHeavyAtoms,CSP3,FractionOfChiralCarbons,NumAliphaticRings,NumAromaticRings,NumAliphaticHeterocycles,NumAromaticHeterocycles,NumHeterocycles,NumRings,NumSpiroAtoms,NumBridgeheadAtoms
FooDB,*C(=O)C12CCC(C)(C)CC1C1=CCC3C4(C)CC(O)C(*)C(C)(C(*)=O)C4CCC3(C)C1(C)CC2,10,0.314,451.321220236,30,3,0,33,0.8666666666666667,0.3333333333333333,5,0,0,0,0,5,0,0
FooDB,*C(=O)CCCCCCCC,10,0.314,141.127940164,9,1,0,10,0.8888888888888888,0.0,0,0,0,0,0,0,0,0
FooDB,*C(=O)C(N)Cc1ccc(O)cc1,10,0.314,164.07115356,9,2,1,12,0.2222222222222222,0.1111111111111111,0,1,0,1,0,1,0,0
FooDB,*C(=O)CC(O)(CC(*)=O)C(*)=O,10,0.314,141.01878364,6,4,0,10,0.5,0.0,0,0,0,0,0,0,0,0
FooDB,*CCC=C,10,0.314,55.054775224,4,0,0,4,0.5,0.0,0,0,0,0,0,0,0,0
FooDB,*C(=O)CN,10,0.314,58.029288748,2,1,1,4,0.5,0.0,0,0,0,0,0,0,0,0
FooDB,*C(=O)CC(C)=O,9,0.282,85.0289544,4,2,0,6,0.5,0.0,0,0,0,0,0,0,0,0
FooDB,*C(=O)CC(*)C,9,0.282,70.041864812,4,1,0,5,0.75,0.25,0,0,0,0,0,0,0,0
FooDB,*C(=O)CC1C(C(*)=O)=COC(*)C1=CC,9,0.282,177.055169148,10,3,0,13,0.4,0.2,1,0,1,0,1,1,0,0
FooDB,*C(=O)c1ccccc1C(*)=O,9,0.282,132.021129368,8,2,0,10,0.0,0.0,0,1,0,1,0,1,0,0
FooDB,*CC=CC,9,0.282,55.054775224,4,0,0,4,0.5,0.0,0,0,0,0,0,0,0,0
FooDB,*C1CCC2(C)C(=CCC3C2CCC2(C)C(C(C)CCC(C)C(C)C)CCC32)C1,9,0.282,383.367776504,28,0,0,28,0.9285714285714286,0.32142857142857145,4,0,0,0,0,4,0,0
FooDB,*C(=O)C(=O)C(*)C(O)O,9,0.282,116.01095860800001,4,4,0,8,0.5,0.25,0,0,0,0,0,0,0,0
FooDB,*C1CC(O)C(CO)O1,9,0.282,117.055169148,5,3,0,8,1.0,0.6,1,0,1,0,1,1,0,0
FooDB,*CC(*)CO[PH](=O)(=O)OC1C(O)C(O[PH](=O)(=O)O)C(O[PH](=O)(=O)O)C(O[PH](=O)(=O)O)C1O,9,0.282,539.9600103199998,9,18,0,31,1.0,0.5555555555555556,1,0,0,0,0,1,0,0
FooDB,*C(C)C=CC(=O)C1(C)CC(O)CC1(C)C,9,0.282,209.154154912,13,2,0,15,0.7692307692307693,0.23076923076923078,1,0,0,0,0,1,0,0
FooDB,*CC(C)O,9,0.282,59.049689844,3,1,0,4,1.0,0.3333333333333333,0,0,0,0,0,0,0,0
FooDB,*C(=O)CCCCCCCCCCCCCCCCCCCCCC,9,0.282,337.34704106000004,23,1,0,24,0.9565217391304348,0.0,0,0,0,0,0,0,0,0
FooDB,*C(C)COC1OC(CO)C(O)C(O)C1O,9,0.282,221.102513264,9,6,0,15,1.0,0.6666666666666666,1,0,1,0,1,1,0,0
FooDB,*C(=O)C1(O)CC(*)C(O)C(O)C1,9,0.282,158.0579088,7,4,0,11,0.8571428571428571,0.5714285714285714,1,0,0,0,0,1,0,0
FooDB,*C1CCC2(C)C(=CCC3C2CCC2(C)C3CC3C2C(C)C2CCC(C)CN23)C1,8,0.251,380.331725344,27,0,1,28,0.9259259259259259,0.4074074074074074,6,0,2,0,2,6,0,0
FooDB,*C(=O)C1(C)CCCC2(C)C3CCC4(*)CC3(CCC12)CC4=C,8,0.251,284.214015516,20,1,0,21,0.85,0.3,4,0,0,0,0,4,1,2
FooDB,*CC(C)(C)O,8,0.251,73.065339908,4,1,0,5,1.0,0.0,0,0,0,0,0,0,0,0
FooDB,*C(=O)c1ccc(OC)cc1,8,0.251,135.044604464,8,2,0,10,0.125,0.0,0,1,0,1,0,1,0,0
FooDB,*c1ccc(C#CC)s1,8,0.251,121.01119616,7,0,0,8,0.14285714285714285,0.0,0,1,0,1,1,1,0,0
FooDB,*C(=O)C(N)C(C)CC,8,0.251,114.091889004,6,1,1,8,0.8333333333333334,0.3333333333333333,0,0,0,0,0,0,0,0
FooDB,*C(=O)c1ccccc1*,8,0.251,104.026214748,7,1,0,8,0.0,0.0,0,1,0,1,0,1,0,0
FooDB,*C(=O)C(*)*,8,0.251,41.002739652,2,1,0,3,0.5,0.0,0,0,0,0,0,0,0,0
FooDB,*C(N)=O,8,0.251,44.013638684,1,1,1,3,0.0,0.0,0,0,0,0,0,0,0,0
FooDB,*CC=CC(O)CC*,8,0.251,98.07316494,6,1,0,7,0.6666666666666666,0.16666666666666666,0,0,0,0,0,0,0,0
FooDB,*C(=O)CC(*)C(*)=O,8,0.251,83.013304336,4,2,0,6,0.5,0.25,0,0,0,0,0,0,0,0
FooDB,*C(=O)CCCCC(*)=O,8,0.251,112.052429496,6,2,0,8,0.6666666666666666,0.0,0,0,0,0,0,0,0,0
FooDB,*C(C)C(C)=O,8,0.251,71.049689844,4,1,0,5,0.75,0.25,0,0,0,0,0,0,0,0
FooDB,*c1ccc(OC)c(O)c1,8,0.251,123.044604464,7,2,0,9,0.14285714285714285,0.0,0,1,0,1,0,1,0,0
